key,target,emo_target,intensity,target_len,text_language,with_or_wo_itn,event_target,source,source_len
5f62edf1b878131628349e6e,싼 걸로 샀어요. 한 50만원 대였던거 같애요.,<|HAPPY|>,0.1,7,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f62edf1b878131628349e6e.wav,429
5f5b55a1b8781316283497ea,벌써 내일 다 만나기로 약속했지.,<|HAPPY|>,0.2,5,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f5b55a1b8781316283497ea.wav,339
5f645493639e10419832ebd2,드디어 구매한 노트북이 도착했어! 뜯어봐야지!,<|HAPPY|>,0.5,5,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f645493639e10419832ebd2.wav,775
5e32e5aa5807b852d9e04264,알겠어. 걱정해줘서 고마워.,<|HAPPY|>,0.1,3,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5e32e5aa5807b852d9e04264.wav,250
5f97e8e4111dfd48d40ff57b,나 드디어 프로젝트가 끝났어.,<|HAPPY|>,0.7,4,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f97e8e4111dfd48d40ff57b.wav,446
5f621e8d3bd6941613f6d5ba,일식집으로 찾아줄래?,<|HAPPY|>,0.1,2,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f621e8d3bd6941613f6d5ba.wav,241
5f6404c854b2361621284df0,친구랑 분위기 있게 양식을 먹고 싶어.,<|HAPPY|>,0.3,6,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f6404c854b2361621284df0.wav,625
5f6ffbda9e04b149046cbe97,강남역에서 만나기로 했는데 뭘 먹어야 할지 못 정했어.,<|HAPPY|>,0.2,8,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f6ffbda9e04b149046cbe97.wav,676
5f40b5249dd513131eaced2d,나 드디어 프로젝트 끝났어!,<|HAPPY|>,0.9,4,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f40b5249dd513131eaced2d.wav,544
5fbe273e4c55eb78bd7cedda,향수 이벤트에 당첨됐어!,<|HAPPY|>,0.2,3,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5fbe273e4c55eb78bd7cedda.wav,450
5f5c63762e23c7161accd01b,할게 너무 많아. 영화도 보고 음악도 듣고 게임도 하고 두루두루 할게 많을 거 같아.,<|HAPPY|>,0.2,14,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f5c63762e23c7161accd01b.wav,1602
5f6d57cbf8fac448cc0a5fae,그래 너무 고맙다.,<|HAPPY|>,0.6,3,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f6d57cbf8fac448cc0a5fae.wav,271
5fb9e1e5cb503578af9edf2b,"그동안 열심히 노력했는데, 보상 받는 것 같아서 기분이 좋아.",<|HAPPY|>,0.3,9,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5fb9e1e5cb503578af9edf2b.wav,574
5f65590df8fac448cc0a584f,애피타이저부터 푸짐하게 주는 집이 정말 좋을 것 같아.,<|HAPPY|>,0.4,8,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f65590df8fac448cc0a584f.wav,561
5f68ca80111dfd48d40fcd65,완전. 이번에 유난히 힘들었거든? 근데 결승선에서 기록 보고 진짜 엄청 놀랐어!,<|HAPPY|>,0.5,11,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f68ca80111dfd48d40fcd65.wav,732
5f78978a9e04b149046cc124,놀란 거 말고는 아무런 피해가 없어서 정말 다행이었어.,<|HAPPY|>,0.2,8,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f78978a9e04b149046cc124.wav,561
5f901be7111dfd48d40fefa1,그럼! 당연히 같이 운동하고 같이 대회 나가는 크루 있어.,<|HAPPY|>,0.5,9,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f901be7111dfd48d40fefa1.wav,553
5f3e97b39dd513131eace3d3,당첨자는 한 명 뽑는 건데 내가 된 거야. 정말 행운이지?,<|HAPPY|>,1.0,10,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f3e97b39dd513131eace3d3.wav,647
5fb8c76444697678c497af41,그 것도 너무 좋은데? 친구들이랑 여행이나 갈까?,<|HAPPY|>,0.2,7,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5fb8c76444697678c497af41.wav,523
5f98071b111dfd48d40ff60f,너무 마음에 들지! 내가 얼마나 갖고 싶었던 향수인데.,<|HAPPY|>,0.5,8,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f98071b111dfd48d40ff60f.wav,851
5fb8cb4d4c55eb78bd7cde3e,그래. 고마워.,<|HAPPY|>,0.1,2,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5fb8cb4d4c55eb78bd7cde3e.wav,318
5f6d59cd111dfd48d40fd184,기분 좋은 음악을 듣는 게 좋을 거 같아.,<|HAPPY|>,0.4,8,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f6d59cd111dfd48d40fd184.wav,621
5f6b692c111dfd48d40fcfea,나 드디어 프로젝트가 끝났어!,<|HAPPY|>,0.7,4,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f6b692c111dfd48d40fcfea.wav,437
5f85192ef8fac448cc0a6c28,내가 10km 마라톤 대회에 출전해서 이전의 내 기록을 훨씬 갱신했어!,<|HAPPY|>,0.8,10,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f85192ef8fac448cc0a6c28.wav,766
5f62c0422e23c7161accd4e8,알았어. 노트북 매뉴얼도 잘 살펴볼게.,<|HAPPY|>,0.3,5,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f62c0422e23c7161accd4e8.wav,540
5fb9de8f4c55eb78bd7ce050,아 정말로? 그래야 되겠다.	,<|HAPPY|>,0.1,4,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5fb9de8f4c55eb78bd7ce050.wav,437
5f6d5c49f8fac448cc0a5fd3,함께 달리는 크루가 있어서 지치고 힘들 때 큰 힘이 되어 줘.,<|HAPPY|>,0.5,11,<|ko|>,<|withitn|>,<|Speech|>,./dataset/samples/5f6d5c49f8fac448cc0a5fd3.wav,715
